TCGA.AB.2949.03B	TCGA.AB.2943.03A	TCGA.AB.2851.03A	TCGA.AB.2822.03A	TCGA.AB.2939.03A	TCGA.AB.2931.03A	TCGA.AB.2921.03A	TCGA.AB.2937.03A	TCGA.AB.2917.03A	TCGA.AB.2849.03A	TCGA.AB.2990.03B	TCGA.AB.3007.03A	TCGA.AB.2948.03A	TCGA.AB.2971.03A	TCGA.AB.2955.03A	TCGA.AB.2892.03A	TCGA.AB.2898.03A	TCGA.AB.2857.03A	TCGA.AB.2995.03A	TCGA.AB.2928.03A	TCGA.AB.2913.03A	TCGA.AB.2866.03A	TCGA.AB.2927.03A	TCGA.AB.2870.03A	TCGA.AB.2956.03A	TCGA.AB.3002.03A	TCGA.AB.2834.03A	TCGA.AB.2875.03A	TCGA.AB.2901.03A	TCGA.AB.2858.03A	TCGA.AB.2853.03A	TCGA.AB.2846.03A	TCGA.AB.2994.03A	TCGA.AB.2977.03B	TCGA.AB.2991.03A	TCGA.AB.2886.03A	TCGA.AB.2806.03A	TCGA.AB.2873.03A	TCGA.AB.2885.03A	TCGA.AB.2876.03A	TCGA.AB.2999.03B	TCGA.AB.2982.03B	TCGA.AB.2815.03A	TCGA.AB.2810.03A	TCGA.AB.2941.03A	TCGA.AB.2896.03B	TCGA.AB.3009.03A	TCGA.AB.2859.03A	TCGA.AB.2934.03A	TCGA.AB.2919.03A	TCGA.AB.3000.03A	TCGA.AB.2973.03A	TCGA.AB.2924.03A	TCGA.AB.2915.03A	TCGA.AB.2952.03B	TCGA.AB.2938.03A	TCGA.AB.2935.03A	TCGA.AB.2823.03A	TCGA.AB.2814.03A	TCGA.AB.2899.03A	TCGA.AB.3001.03A	TCGA.AB.2813.03A	TCGA.AB.2942.03A	TCGA.AB.2930.03A	TCGA.AB.2811.03B	TCGA.AB.2842.03A	TCGA.AB.2911.03A	TCGA.AB.2825.03A	TCGA.AB.2920.03B	TCGA.AB.2998.03A	TCGA.AB.2916.03A	TCGA.AB.2839.03A	TCGA.AB.2965.03A	TCGA.AB.2944.03A	TCGA.AB.2861.03A	TCGA.AB.2843.03A	TCGA.AB.2933.03A	TCGA.AB.2894.03A	TCGA.AB.2888.03B	TCGA.AB.2900.03A	TCGA.AB.2966.03A	TCGA.AB.2963.03A	TCGA.AB.2975.03A	TCGA.AB.2881.03A	TCGA.AB.2950.03A	TCGA.AB.2821.03A	TCGA.AB.2912.03A	TCGA.AB.2890.03A	TCGA.AB.2812.03A	TCGA.AB.2817.03A	TCGA.AB.2970.03A	TCGA.AB.2984.03A	TCGA.AB.2946.03A	TCGA.AB.2828.03A	TCGA.AB.2845.03B	TCGA.AB.2883.03A	TCGA.AB.2959.03A	TCGA.AB.2893.03A	TCGA.AB.2863.03A	TCGA.AB.2871.03A	TCGA.AB.2979.03B	TCGA.AB.2987.03A	TCGA.AB.2891.03A	TCGA.AB.2820.03A	TCGA.AB.2897.03A	TCGA.AB.2884.03A	TCGA.AB.2882.03A	TCGA.AB.2981.03B	TCGA.AB.2877.03A	TCGA.AB.2918.03A	TCGA.AB.2889.03A	TCGA.AB.2808.03A	TCGA.AB.2983.03A	TCGA.AB.2830.03A	TCGA.AB.2929.03A	TCGA.AB.2836.03A	TCGA.AB.2910.03A	TCGA.AB.2856.03A	TCGA.AB.2844.03A	TCGA.AB.2908.03A	TCGA.AB.2940.03A	TCGA.AB.2869.03A	TCGA.AB.2996.03A	TCGA.AB.2867.03A	TCGA.AB.2826.03A	TCGA.AB.2872.03A	TCGA.AB.2840.03A	TCGA.AB.3008.03A	TCGA.AB.2992.03A	TCGA.AB.3011.03A	TCGA.AB.2914.03A	TCGA.AB.2818.03A	TCGA.AB.2986.03A	TCGA.AB.2847.03A	TCGA.AB.2805.03A	TCGA.AB.2819.03A	TCGA.AB.2988.03B	TCGA.AB.2841.03B	TCGA.AB.2976.03A	TCGA.AB.2895.03A	TCGA.AB.3012.03A	TCGA.AB.2874.03A	TCGA.AB.2862.03A	TCGA.AB.2980.03A	TCGA.AB.2865.03A	TCGA.AB.2835.03A	TCGA.AB.2878.03A	TCGA.AB.2936.03A	TCGA.AB.2880.03A	TCGA.AB.2932.03A	TCGA.AB.2925.03A
Epithelial cells	0.0017	0	0	0.001	0.0077	0.0037	0.0027	0.0107	0	0	0.0074	0.0068	0.002	0.0024	0	0	0.0057	5e-04	6e-04	0.0014	0	0.0027	1e-04	0	0.0104	0	0	0.0015	0.004	0.0054	0.0037	0	0.0193	0.0093	0.0063	0.0046	0.0011	0.004	0.0043	0	0.0071	0.005	0	0.0117	0.0026	0.0011	9e-04	0	0	0.0016	0	0	0	0	0.002	5e-04	0	0.0116	0.0124	0	0.0093	7e-04	0	0	0.0153	0.0035	0.0061	0.0041	0	0.0114	0	0	8e-04	0.0057	0.0073	0	0	0	0	0.0015	1e-04	0	0.001	0	0.0025	0	0	0	1e-04	0	0	0.0053	0	0	0	0	0	0.0069	7e-04	0	0.0032	0	0	0.0038	0.0331	0.0027	0	0.0015	0.0055	4e-04	0	0	0.0013	6e-04	0.0056	0	0	0.0021	0	0.002	0	5e-04	0	0.0022	0.004	0.0091	0.012	1e-04	0	0.0024	0	0.0059	6e-04	0.002	0	0.001	0	0.0338	0.0035	0.0026	0.0199	0.0011	0.0203	0.0015	7e-04	7e-04	0	0	0	0.0098	0.0142
Erythrocytes	0.0045	0.1089	0	0.0068	0.047	1e-04	0.0026	5e-04	0.0372	0.0871	0.0043	0.0419	0.1049	0	0.0022	0	0.0606	0.2282	0.1477	0	0.0031	0	0.0493	0	0	0.006	0.0582	0.0011	9e-04	0	0	0	0.0088	0.0028	0.0162	6e-04	4e-04	0.0729	0.0108	0.0106	0.0573	0.0593	0	0.0039	0.0238	0	0	0	0.0095	0.025	0.019	0	0.0438	0.0563	0.1437	0.1975	0.0209	0	5e-04	0.0328	0.069	0.0031	0	0.0143	0	0	0.0066	0	0.0069	0	0.0055	0.0195	0.0037	0	0	0.1271	0.0114	0.0152	0	0.0154	0.0086	0.0375	0	0.0017	0.0226	0.0319	0.0039	0.0178	0	0.0023	0.0563	0.0164	0.0362	0	0.0276	0.0136	0.007	0	0.0207	0.0346	0.1522	0	0.0024	1e-04	0.0021	0	0.0215	0	0	0	0	0.0809	0.0105	0.071	0.0073	0.0347	0	0.0174	0.0561	0.1215	0.1092	0.027	0.0863	0.0111	0	0.0338	0	0.1374	0.055	0.0084	0	0.0021	0.021	0.0613	2e-04	0.0037	0.0027	0.0466	0.0014	0	0.0119	0	0.0131	0.1576	0	0	0.1939	0.1144	0	0.0027	0.0079
Fibroblasts	0	0	0	0	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0.0435	0	0	0	0	0	0	0	0	0	0.0118	0.0273	0	0	0	0	0	0.0391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0229	0.0309	0	0	0	0	0	0.0354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0046	0	0	0	0	0	0	0	0	0	0	0	0	0.0158	0	0	0	0	0.0038	0	0	0	0	0	0.01	0	0	0	0
GMP	0.0435	0.0428	0	0.0114	0.2581	0.1789	0.1234	0	0.1905	0	0.0744	0.0721	0	0.0701	0	0.1208	0	0.0201	0.0185	0	0.0914	0	0.1771	0.1446	0	0.1925	0.2025	0.1835	0.0108	0.2681	0.0439	0.1716	0.149	0	0.0793	0.1904	0.1549	0	0.0694	0.2589	0.1138	0.0946	0.1811	0.1485	0	0.1347	0.0882	0.0865	0	0	0.0019	0	0	0	0	0	0.2375	0.0626	0	0.1256	0.0997	0	0.1048	0.1769	0.0172	0	0.0123	0.0237	0.0237	0.0802	0.029	0.2431	0.1539	0.1327	0	0.0551	0.227	0	0.0123	0.1335	0	0.1916	0.0152	0.0702	0.0813	0	0.1039	0.0782	0.2726	0.221	0.1243	0	0	0.0408	0.0902	0	0.1851	0	0.0332	0.0725	0	0	0.0388	0.1108	0.0446	0.06	0	0.0602	0.0195	0.2402	0.1367	0.2023	0.1463	0.0685	0	0.0514	0	0.0217	0.1345	0	0	0.174	0.0314	0.0088	0.1535	0.073	0.0691	0	0.0115	0.0679	0.119	0.0675	0.1477	0.2365	0.0719	0.1224	0.0629	0	0.1314	0.058	0.1288	0	0.1328	0.0479	0.2325	0	0.1683	0.0535	0	0	0
HSC	0.4513	0.4695	0.0357	0.3019	0.3365	0.2869	0.2473	0.475	0.4666	0.3092	0	0.1425	0.0736	0	0.2808	0.0638	0.3955	0.2382	0.9245	0.275	0.1811	0.0388	0.4302	0.0957	0.0039	0.1787	0.0917	0.136	0.2627	0.2334	0.1264	0.1196	0.0203	0.2091	0.2051	0.2293	0.3494	0.018	0.776	0.2233	0.1243	0.1296	0.0432	0.0047	0.1212	0.2498	0.1543	0.2502	0.1875	0.0878	0.1737	0	0.0398	0.2832	0.1462	0.2481	0.3988	0.0882	0.1727	0.3152	0.1754	0.0968	0.132	0.1758	0.0199	0.1622	0.1361	0	0.3318	0.0742	0.0587	0.2691	0.0537	0.6222	0	0.3401	0.388	0.0075	0	0.0249	0.3382	0.0819	0.1496	0.1557	0.2393	0.159	0.1069	0.5042	0.1231	0.3002	0.186	0.1008	0.1756	0.0084	0.1974	0.1087	0.3823	0.0665	0.1781	0.2043	0.179	0	0.1036	0.3608	0.0675	0	0.08	0	0.0045	0.2356	0.1728	0.1874	0.3195	0.1622	0.5544	0.056	0	0.1274	0.1643	0.4883	0.1587	0.178	0.3042	0.0978	0	0.0791	0.0351	0.2037	0.0502	0.041	0.1955	0.0567	0.1748	0.1966	0.122	0.2124	0.2178	0.0721	0.1764	0.3092	0.1292	0.1351	0.1248	0.1842	0.4168	0	0.3847	0.2557	0.1594	0	0.0043
Hepatocytes	3e-04	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	5e-04	0	0	4e-04	0	0	0	0	0	0	9e-04	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0.0031	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	4e-04	0	0	0	0	0	0	0	0	3e-04	0	0	8e-04	0	0	0.0015	0	0	0	0	4e-04	5e-04	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0	2e-04	0	0	0	0	0	0
Keratinocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEP	0.0684	0.1158	0.0052	0.1568	0.1305	0.1459	0.0689	0.1926	0.1427	0.0627	0.129	0.0832	0.0159	0	0.128	0.1412	0.0059	0.2726	0.2068	0.1143	0.0584	0.0164	0.1055	0.113	0.0306	0.0978	0.0191	0.1533	0.2717	0.2065	0.0738	0.0823	0.045	0.0607	0.092	0.1571	0.1523	0	0.2275	0.1783	0.0816	0.0817	0.0277	0.1332	0.3335	0.1586	0.0127	0.0554	0.0283	0.1179	0.1532	0	0.0347	0.1188	0.1621	0.2437	0.1446	0.0403	0.0202	0.0223	0.0723	0	0.1237	0.0876	0.1115	0	0.0949	0.0045	0.2125	0.0306	0	0.1843	0.0613	0.1072	0.0548	0.1724	0.0483	0.0509	0.0053	0.1244	0.1108	0.0927	0.1143	0.0819	0.1645	0.046	0.0256	0.1502	0.1082	0.0969	0.0403	0.1441	0.1613	0.0177	0.199	0.0521	0.0593	0.0347	0.1103	0.1363	0.1862	0	0.0567	0.0494	0.0763	0.009	0.1258	0.0021	0.1028	0.1417	0.1069	0.1604	0.0489	0.0627	0.15	0.0418	0.0541	0.1026	0.1287	0.1645	0.2411	0.1458	0.173	0.084	0.0202	0.0204	0.0294	0.1828	0	0.1002	0.1047	0.0248	0.1795	0.218	0.0163	0.1996	0.0985	0.0761	0.1213	0.0733	0.0889	0.0711	0.1445	0.1203	0.1216	0.0277	0.1864	0.0518	0.1541	0.0248	0.0735
MPP	0.0197	0	0.0596	0.0582	0.0228	0.0456	0.0583	0	0	0	0.0782	0.0323	0.0179	0.0294	0.0491	0.0548	0	0.0385	0	0.0635	0.0802	0	0	0.092	0	0.0706	0.0361	0.0761	0	0.0582	0.0718	0.0616	0.0179	0.0551	0.0372	0.0473	0	0	0	0.0502	0.0397	0.06	0.0516	0.07	0	0.0709	0.0865	0.0758	0.0716	0.0904	0.0958	0	0.0411	0.0274	0.0865	0	0.0454	0.0333	0	0.0519	0.012	0	0.0834	0.0748	0.0686	0	0.0288	0.0162	0.0537	0.0447	0.0094	0.0572	0.0596	0	0	0.0155	0.0159	0	0.0162	0.0504	0.0625	0.0562	0.1064	0.0446	0.0127	0.0582	0.0354	0	0.0617	0.059	0.0361	0.0551	0.083	0.0285	0.0666	0	0.0087	0	0.0589	0.0419	0.0912	0	0.0635	0	0.0627	0.0804	0.0673	0.0224	0.0556	0.0916	0.0762	0.0498	0.0411	0.0356	0	0.0645	0	0.0525	0.0552	0.0083	0.0695	0.1023	0.0234	0.0635	0	0.0307	0.0626	0.0953	0.0398	0.0876	0.0819	0.0275	0.0827	0.0761	7e-04	0.0239	0.0792	0.0251	0.0842	0.0652	0.0387	0.0676	0.0592	0.0266	0.0146	0.0112	0.0295	0.0346	0.0714	0.0346	0.0204
MSC	0.1137	0.1253	0.2736	0.1663	0.0204	0.0344	0.1152	0.1173	0	0	0.1317	0.1351	0.2756	0.1605	0	0.1789	0.1591	0.0636	0.0285	0.0752	0	0.289	0.2374	0.2558	0.3153	0.2862	0.0476	0.1645	0.0501	0.0212	0.0022	0.2275	0.1811	0.3742	0.0888	0.0454	0	0.1577	0.1183	0	0.0234	0.0774	0.0702	0.2499	0.0717	0.0896	0.1538	0	0.183	0.1276	0.0689	0.1336	0.131	0.0806	0.298	0	0.2628	0.0939	0.0642	0.2571	0.0904	0.2129	0.1426	0.1441	0.3101	0	0.0886	0.2132	0.2481	0.0277	0	0	0	0.04	0.3777	0.036	0.0433	0.0544	0.0938	0.0887	0.0096	0.0053	0.1403	0.2181	0.0495	0.1132	0.0163	0.016	0	0.2196	0.0292	0.1012	0.0188	0.0676	0.079	0.1643	0.0389	0.2276	0	0.0975	0.1648	0.0599	0.1504	0.2598	0.2125	0.1657	0.007	0.103	0.1567	0.1856	0.3184	0	0.0247	0.3202	0.0571	0.1565	0.2322	0.2618	0.1334	0.191	0.0209	0.0392	0.0607	0.0138	0.0366	0.1665	0.0113	0.0517	0.1764	0.1043	0.0624	0.0198	0.1126	0.18	0.0486	0.0716	0.0846	0.183	0	0.0353	0.1226	0.064	0.1452	0	0.1788	0.2538	0.008	0.151	0.0512	0.1753	0.2823
Macrophages	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0.0116	0	0	0	0	0	0.0022	0	0.0073	0.0372	0	0	0	0	0	0	0.0135	0	0.0041	0	0	0	0.0703	0	1e-04	0	0	0.0146	0	5e-04	0	0	0	0	0	7e-04	0.0273	0.0107	0	0	0.0035	0.0057	0	0.0015	0	0	0	0	0	0.0034	0.0177	0.0261	0.0341	0	0	0	0	0.0051	0.0064	0.0147	4e-04	0	0	0.0231	0.081	0	0.0158	0	0.0021	0	0	0.026	0	0	0	0	0	0.0032	0.0077	0	0	0	0.031	0.0213	0	0	0.1114	0.015	0	0	0.0449	7e-04	0.1076	0	0.0016	0.0171	0	0.0017	0.0019	4e-04	0.0284	0.0176	0.0028	0	0	0	0	0.0069	0	0.0014	0	0	0	0	0	0	0.008	0	0	0	0.0069	0	0	0	0	0	0.0055	0	0	0.0203	0.033	0.0086	0	0	0.0531	0.006
Macrophages M1	0	0	0	0	0	0.0037	0	0.0012	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0.0017	0.0285	0	0	0	0.0045	0	0	0	0	0.0111	0	0	0	0.051	0.0014	0	0	0	0.0028	0	0.0061	0	0	0	0	0	0	0.0218	0	0	0.0092	0.0188	0	0	0	0	0	0.0043	0	0	0.0167	0.0118	0.0178	0.0478	0.0016	0	0	0	0	0.0037	0.0212	0.0019	0	0	0	0.0847	0	0.0074	0	0	0	3e-04	0.0058	0	0	0	0	0	0	0.003	0	0	0	0.0137	0.0126	0	0	0.0905	0.0213	0.0029	0	0.0325	0	0.0639	0	0	0	0	0	0.0028	0.0026	0.0372	0.0233	0	0	0	0	0	0.005	0	0	0	0	0.0023	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0.0326	0.0247	0.0025	0	0	0.0484	0.0112
Macrophages M2	0.0021	0	0.025	0.0011	0	0.0015	0.0142	0	0	0	0.0038	0	0.0161	0.016	0	0.0329	0	0	0	0.0052	0.002	0.04	0.0108	0.0201	0.0331	0.0129	0.0092	0.0029	0.0027	0.0026	0.0051	0.0352	0.0054	0.0136	0	0.0014	5e-04	0.0704	0.0024	0	0	0	0.0339	0.006	0	5e-04	0.0076	0.0068	0.0222	0	0	0.0358	0.0206	0.0079	0.0055	0	0.01	0	0.0074	0	5e-04	0.0246	0.0088	0.0014	0.0132	0.029	0.0045	0.0365	0.0068	0	0.0417	0.0029	0.0301	0.0056	0.0211	0.0108	0.0019	0.0187	0.0448	0.0022	0.0075	0.0042	0.01	0.0134	0.0036	0.0054	0.0323	0.004	0.006	0.0074	0.0156	0	0.0015	0.0296	0	0.0141	0	0.0329	0.0127	0	0	0.0717	0.0131	0	0	0.036	0	0.0553	0	0.0125	0.0228	0	0.0141	0.0124	0.0067	0.0232	0.0205	0.0259	0	2e-04	0	0	0.012	0.0023	0.0099	0.0061	0	0	0	0.0016	0.0013	0.0094	1e-04	0.0034	0.0345	0.0055	0.0048	0.0024	0.0015	0.0033	0	0.0062	0	0	0.0098	0.0255	0.0031	0.0016	0	0.0226	0.0329
Mast cells	0.0046	0.0441	0.0047	0.0206	0.06	0.049	0.013	0.0061	0.0305	0.0095	0.0127	0.0282	0.003	0.0083	0.0356	0.0447	0.0046	0.1093	0.0042	0	0.0302	0	0.0033	0.0312	0	0	0.0114	0.0426	0.1115	0.0744	0.0266	0.0126	0.0472	0	0.0252	0.0473	0.0412	0.0023	0.0569	0.0689	0.0626	0.0246	0.021	0	0.1336	0.0369	0.0159	0.039	0.0062	0.0213	0.0462	0.0027	0.016	0.0241	0.0302	0.0727	0.0423	0.035	0.0137	0.0085	0.0346	0.0015	0.0211	0.0156	0.0052	0	0.036	0.0047	0.0163	0.0178	0.0061	0.0708	0.0199	0.0158	0	0.0141	0.0013	0.0043	0	0.0277	0.0209	0.024	0.0122	0.024	0.0281	0.0034	6e-04	0.0207	0.029	0.038	0.0207	0.0126	0.0368	0.0059	0.0398	0	0.0137	0	0.0093	0.0438	0.0307	0	0.0072	0.026	0.0239	0.023	0.0833	0.0066	0.0252	0.0154	0.0262	0.0559	0.0218	0.0087	0.0422	0.0169	0	3e-04	0.0157	0.0301	0.0934	0.0458	0.0454	0.0153	0.008	0.0267	0.016	0.0218	0.0149	0.0204	0.039	0.0339	0.0258	0.0514	0.0076	0.02	0.0195	0.0411	0.0469	0.0247	0.0521	0.0402	0.0311	0.025	0.0235	0	0.0647	0.0213	0.0269	0.0018	0.0017
Megakaryocytes	0.0011	0.0156	0.011	0.0078	0.0013	7e-04	0	0.0049	0.007	0.0051	0	6e-04	0.0044	0	0.0047	0	0.014	0.0137	0.0874	8e-04	0.0149	0	0	0	0.001	0.005	4e-04	0.0071	0.0065	0.0068	0.0043	0.0032	0.0067	0.0048	0.0067	0.0029	0.0014	0.0067	0.0289	0.0023	0	0	0	3e-04	0.0086	0.0046	0.0064	0.1513	0.0261	0.0026	0.0026	0.0046	0.0017	0.0154	0.0047	0.1917	0.0036	7e-04	0.001	0	0.0021	0.0054	0	0	0	0	0.003	0	0.0028	0	0.0287	0.054	0.0135	0.0377	0	0	0	0.0294	0	0.0014	0.0091	0.0016	0	0.0025	8e-04	0.0095	9e-04	0.012	0.0053	0.0042	0.0323	0	0.0038	0.0013	0.0018	0.0119	0.0158	0	0.002	0.083	0.0012	6e-04	0	0.0117	0.0063	0.0186	0.0737	0	0	0.0063	6e-04	0.0078	0.0168	0.0027	0.0199	0.0013	0	0.0021	0	0.0201	0	0.0076	0.0214	0.017	0	0.0098	0	1e-04	0.0281	0	0.0059	0.0245	0.0175	0.0128	0.002	0.0011	0.0013	0.015	0.0056	0.0421	0.006	0.0252	0.0072	0.0062	0.0651	0	0.1141	0.0076	0	0.0011	0
Melanocytes	0.0034	8e-04	0.0067	0.0017	0.0035	0.0012	0.0033	0.003	0	0.0056	5e-04	0.0017	0.0063	0.0035	0.0017	0.0036	0.0067	0.0018	0.0015	0.0014	0	0.0019	0.0028	0.001	0	0.0044	0.0022	0.0018	0.0022	0.0014	0.001	0.0029	0.0026	0	0.0021	0.0012	0	0.0101	4e-04	0	0.0013	0.0012	0.0038	6e-04	0.0102	4e-04	0.0037	0.0019	0.0049	2e-04	0.0041	0.007	0.0024	0.0072	0	0	0.0057	0.0026	0.0027	0.0014	0.0025	0.0115	0.0014	0.0017	5e-04	0.0024	0.0023	0.0053	7e-04	0.001	0.0081	0	0.003	0.0037	0.0026	0.0036	0.0086	0.0022	0.0136	8e-04	0.0073	0.0018	0.0037	0.0015	7e-04	0.0029	0.0042	0.0034	0	0.0053	0.002	8e-04	0.0018	0.0073	0.003	0.0027	0.0039	0.003	0.0032	9e-04	0.0017	0.0124	0.0016	8e-04	6e-04	0.0016	0.0051	0.0121	7e-04	0.0017	0.0027	0	0.003	8e-04	0.0034	0.0077	0.0017	0.0031	0.0018	0.0023	0.0024	0.0019	0.0067	0.0065	0.0036	0.0025	5e-04	0.0043	0.0069	0	0.0032	0.0068	7e-04	0.0018	0.007	0.0025	0.0018	0.0027	0	0.0022	0.0017	0.0045	9e-04	0	0.0063	9e-04	0.0018	0.0017	0.0025	0.0018	0.0022
Memory B-cells	0	0.021	0.0335	0	0	0	0.0216	0	0	0	0.0056	0	0	0	0.0029	0	0	0.0463	0	0	0	0	0.0451	0.011	0.0187	0	0	0	0	0	0	0	0	0.0247	0	0	0	0	0	0	0	0.0326	0.0046	0	0	0	0	0	0.0408	0	0.0224	0.0229	0	0	0.0431	0	0	0	0	0.0813	0	0	0.0143	0.0148	0.022	0	0.0151	0	0.0077	0	0.0012	0	0	0	0	0.0561	0.005	0.0035	0.0153	0	0	0	0	0.0233	0	0	0	0	0	0.0242	0.0222	0	0.0022	0	0.0315	0	0	0	0	0.0531	0.0323	0.0465	0	5e-04	0	0.0174	0	0.0024	0	0.0083	0	0	0.0151	0.0805	0	0.0095	0	0	0	0	0	0	0	0	0	0	0.0089	0.0389	0	0	0	0.0041	0	0	0.0081	0	0.0017	0	0	0	0	0	0.0257	0	0	0.0027	0	0.0257	0.0161	0	0
Mesangial cells	0.0027	0	0	0	0	0.0186	0	0.0045	0	0.0287	0	0	0	0.0105	0	0	0.0174	0.0035	0.0116	0	0	0.0015	0	0	0.0266	0	0.0173	0	0	0	0.0068	0	0	0.0203	0	0	0.0042	0.0139	7e-04	0	0	0.0057	0	0	0	0	0	0.0122	0	0	0	0.0067	0	0	0.0084	0.0039	0	0	0	0.0041	0	0	0	0	0.0063	0.0067	0.0071	0	0.0026	0	0	0	7e-04	0	0	0	0.001	0.0281	0.001	0.0041	0	0	0	0	0.0169	0.0095	0	0.0092	0	0	0	0.0018	0	0	0	0.0152	0	7e-04	0	0.0102	0	0.0343	0	0	0	0	0.0293	0.0076	0.0092	0	0	0	0	0	0	0.0144	0.0091	0	0	0	0	0.0079	0	0	0.0128	0	0.0023	0	0.0157	0	0	0.0151	0.0092	0	0	0	0	0	0.0076	0.0075	0.0018	0	0	0	0.0109	0	0.0012	0	0	0	0.008
Monocytes	0.0652	0.0251	0.5819	0	0.034	0	0.2322	0	0.1211	0	0.0089	0	0.5719	0.336	0	0.3736	0.123	0.0533	0	0	0	0.2935	0.1643	0.3886	0.2574	0.0759	0.3729	0.0463	0.0091	0.0053	0.0433	0.3766	0.1312	0.3284	0.0346	0	0	0.5578	0	0.0554	0.0034	0.017	0.4547	0.0297	0.0687	0.0519	0	0.0284	0.4938	0	0.0927	0.5459	0.3226	0.3701	0.4082	0.0198	0.3035	0.0491	5e-04	0.2731	0.0454	0.6466	0.2752	0.1111	0.281	0.2153	0.4443	0.4594	0	0.0575	0.5666	0	0.2527	0	0.1124	0.0795	0.3727	0	0.6538	0.2733	0	0.2253	0.0072	0.2382	0	0.1241	0.1897	0.1855	0.0077	0.2362	0.1754	0	0.2397	0.5003	0.1048	0	0	0.3161	0.0129	0	0.0547	0.4834	0.168	0	0.0242	0.3808	0.1332	0.6036	0	0.0794	0.285	0.235	0.0813	0.0118	0.0817	0.5006	0.1108	0.3083	0.2802	0.0644	0.1752	0	0.1894	0.1454	0.4736	0	0.0283	0	0.4541	0	0.2095	0.3734	0.0505	0.0294	0.3843	0.0287	0.0209	0.0281	0.0024	0	0.0199	0.0985	0	0	0.323	0.3955	0.0131	0.0077	0.2238	0.4376	0.2355
Myocytes	0	5e-04	0	0.0034	0	0	0	0	0	0.0014	0	0	6e-04	0	0.0112	4e-04	0	0.0098	0.0079	4e-04	0.0049	0	0	0	1e-04	0	0.0033	0	0	0	0.0051	0	0	0	0	0.0032	0.0046	0	0	0.0013	0	0	0.0025	0	0.0213	0	0	0	0	3e-04	0	0	2e-04	0	0	0.0131	0	0	0.0087	0	0	0	0	0	0	0.0023	0	0	0	0	0	0	0.0034	0	0	0	0	0.0099	0	0	6e-04	0.0043	0	0	0.009	0	4e-04	0	0.0027	0	4e-04	0	0	0	0	0	0	0	0.0053	9e-04	1e-04	0	0	0	0	0	0	0	0	0	0	0.0062	4e-04	7e-04	0	0	0	0	0.0032	0.0027	0.001	0	7e-04	0.0022	0.001	0	0	0.0012	0	0	0.0019	0.0029	0	0	0	0.0063	0.0047	0	0	0	0	0.0048	0	0.004	0	0	0.008	0	0	0	0
NK cells	0	0.0168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0.0181	0	0	0.0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
